Name,Academics,Athletics,Diversity,Professors,Safety,Student_Life,Value
National University,0,0,0,0,13,0,0
St. Joseph's College - New York,0,0,0,0,14,0,0
Bryant & Stratton College - Wauwatosa,0,0,0,0,15,0,0
Galveston College,0,0,0,0,16,0,0
St. Petersburg College,0,0,0,0,17,0,0
Collin College,0,0,0,0,18,0,0
Trinity Washington University,0,0,0,0,19,0,0
Cairn University,0,0,0,0,20,0,0
Ohio University - Lancaster,0,0,0,0,21,0,0
Stanbridge University - Orange County,0,0,0,0,22,0,0
Central Baptist College,0,0,0,0,23,0,0
Metropolitan State University - Minnesota,0,0,0,0,24,0,0
SUNY Empire State College,0,0,0,0,25,0,0
Kent State University - Tuscarawas,0,0,0,0,26,0,0
The Cooper Union for the Advancement of Science and Art,0,0,0,0,27,0,0
Hodges University,0,0,0,0,28,0,0
Rochester University,0,0,0,0,29,0,0
Monroe College - Bronx/New Rochelle,0,0,0,0,30,0,0
Penn State Lehigh Valley,0,0,0,0,31,0,0
Ohio University - Chillicothe,0,0,0,0,32,0,0
Everglades University,0,0,0,0,33,0,0
St. Johns River State College,0,0,0,0,34,0,0
University of Mount Olive,0,0,0,0,35,0,0
South College - Knoxville,0,0,0,0,36,0,0
Gurnick Academy - San Mateo Campus,0,0,0,0,37,0,0
Keiser University - Fort Lauderdale,0,0,0,0,38,0,0
Mercy College,0,0,0,0,39,0,0
Mount Saint Mary's University Los Angeles,0,0,0,0,40,0,0
University of Maine at Fort Kent,0,0,0,0,41,0,0
University of the Cumberlands,0,0,0,0,42,0,0
Herzing University - Orlando,0,0,0,0,43,0,0
Granite State College,0,0,0,0,44,0,0
Metropolitan College of New York,0,0,0,0,45,0,0
ECPI University,0,0,0,0,46,0,0
St. Catherine University,0,0,0,0,47,0,0
Piedmont University,0,0,0,0,48,0,0
Valencia College,0,0,0,0,49,0,0
The Master's University,0,0,0,0,50,0,0
University of California - Santa Barbara,0,0,0,0,0,1,0
University of Illinois Urbana-Champaign,0,0,0,0,0,7,0
San Diego State University,0,0,0,0,0,8,0
University of Central Florida,0,0,0,0,0,13,0
Southern Methodist University,0,0,0,0,0,19,0
Kansas State University,0,0,0,0,0,20,0
University of Dayton,0,0,0,0,0,21,0
University of Cincinnati,0,0,0,0,0,23,0
Virginia Tech,0,0,0,0,0,42,0
University of Mississippi,0,0,0,0,0,50,0
United States Merchant Marine Academy,0,0,0,0,0,0,8
Rose-Hulman Institute of Technology,0,0,0,0,0,0,15
Virginia Military Institute,0,0,0,0,0,0,18
Albany College of Pharmacy & Health Sciences,0,0,0,0,0,0,20
Colgate University,0,0,0,0,0,0,23
Colorado School of Mines,0,0,0,0,0,0,25
Stevens Institute of Technology,0,0,0,0,0,0,26
SUNY Maritime College,0,0,0,0,0,0,28
Rensselaer Polytechnic Institute,0,0,0,0,0,0,34
Massachusetts Maritime Academy,0,0,0,0,0,0,35
Lafayette College,0,0,0,0,0,0,36
Worcester Polytechnic Institute,0,0,0,0,0,0,39
College of the Holy Cross,0,0,0,0,0,0,44
Clarkson University,0,0,0,0,0,0,46
Maine Maritime Academy,0,0,0,0,0,0,50
